symbol,slow_macd_period,fast_macd_period,macd_signal_period,atr_period,atr_dist,sma_period,direction_period,profit,Sharpe_ratio,max_drawdown,max_drawdown_duration,profit_vs_BuyHold
ALGOUSDT,14,32,8,7,2,15,5,-622.22,-0.47,79.71,1828,321.95
ALGOUSDT,14,32,8,7,2,15,15,-813.97,-1.35,85.52,1828,88.91
ALGOUSDT,14,32,8,7,2,35,5,-804.93,-1.27,85.54,1828,105.71
ALGOUSDT,14,32,8,7,2,35,15,-810.07,-1.65,85.01,1826,52.76
ALGOUSDT,14,32,8,7,6,15,5,-868.09,-0.93,89.97,1828,56.74
ALGOUSDT,14,32,8,7,6,15,15,-868.09,-0.93,89.97,1828,56.74
ALGOUSDT,14,32,8,7,6,35,5,-862.71,-0.89,89.97,1828,64.66
ALGOUSDT,14,32,8,7,6,35,15,-865.69,-0.91,89.55,1826,60.28
ALGOUSDT,14,32,8,21,2,15,5,-694.56,-0.89,76.73,1828,234.04
ALGOUSDT,14,32,8,21,2,15,15,-780.99,-1.27,82.14,1828,129.00
ALGOUSDT,14,32,8,21,2,35,5,-760.78,-1.14,81.43,1828,160.68
ALGOUSDT,14,32,8,21,2,35,15,-783.25,-1.61,82.09,1826,79.58
ALGOUSDT,14,32,8,21,6,15,5,-834.30,-0.73,87.40,1828,106.43
ALGOUSDT,14,32,8,21,6,15,15,-834.30,-0.73,87.40,1828,106.43
ALGOUSDT,14,32,8,21,6,35,5,-827.58,-0.69,87.40,1828,116.31
ALGOUSDT,14,32,8,21,6,35,15,-842.80,-0.77,87.77,1826,93.92
ALGOUSDT,14,32,28,7,2,15,5,-727.41,-1.29,80.49,1817,135.43
ALGOUSDT,14,32,28,7,2,15,15,-845.64,-1.69,88.95,1817,44.35
ALGOUSDT,14,32,28,7,2,35,5,-873.47,-1.99,91.06,1817,11.62
ALGOUSDT,14,32,28,7,2,35,15,-860.38,-2.12,90.05,1817,2.45
ALGOUSDT,14,32,28,7,6,15,5,-838.92,-1.01,87.55,1817,99.11
ALGOUSDT,14,32,28,7,6,15,15,-850.67,-1.08,88.45,1817,81.87
ALGOUSDT,14,32,28,7,6,35,5,-850.67,-1.08,88.45,1817,81.87
ALGOUSDT,14,32,28,7,6,35,15,-850.67,-1.08,88.45,1817,81.87
ALGOUSDT,14,32,28,21,2,15,5,-766.20,-1.62,82.78,1817,96.63
ALGOUSDT,14,32,28,21,2,15,15,-792.90,-1.42,85.24,1817,106.37
ALGOUSDT,14,32,28,21,2,35,5,-844.54,-1.84,88.25,1817,45.64
ALGOUSDT,14,32,28,21,2,35,15,-826.24,-1.97,86.75,1817,36.60
ALGOUSDT,14,32,28,21,6,15,5,-742.24,-0.43,80.07,1817,240.93
ALGOUSDT,14,32,28,21,6,15,15,-742.24,-0.43,80.07,1817,240.93
ALGOUSDT,14,32,28,21,6,35,5,-742.24,-0.43,80.07,1817,240.93
ALGOUSDT,14,32,28,21,6,35,15,-742.24,-0.43,80.07,1817,240.93
ALGOUSDT,14,72,8,7,2,15,5,-409.74,0.10,71.46,1793,582.47
ALGOUSDT,14,72,8,7,2,15,15,-599.11,-0.34,71.78,1793,351.59
ALGOUSDT,14,72,8,7,2,35,5,-596.17,-0.32,74.83,1793,365.64
ALGOUSDT,14,72,8,7,2,35,15,-601.07,-0.62,72.58,1793,261.76
ALGOUSDT,14,72,8,7,6,15,5,-711.57,-0.27,77.69,1793,303.65
ALGOUSDT,14,72,8,7,6,15,15,-711.57,-0.27,77.69,1793,303.65
ALGOUSDT,14,72,8,7,6,35,5,-711.57,-0.27,77.69,1793,303.65
ALGOUSDT,14,72,8,7,6,35,15,-711.57,-0.27,77.69,1793,303.65
ALGOUSDT,14,72,8,21,2,15,5,-501.70,-0.19,66.11,1793,470.35
ALGOUSDT,14,72,8,21,2,15,15,-509.44,-0.17,67.55,1793,460.91
ALGOUSDT,14,72,8,21,2,35,5,-544.98,-0.25,70.11,1793,429.37
ALGOUSDT,14,72,8,21,2,35,15,-516.13,-0.46,67.67,1793,346.71
ALGOUSDT,14,72,8,21,6,15,5,-656.86,-0.12,73.46,1793,387.26
ALGOUSDT,14,72,8,21,6,15,15,-656.86,-0.12,73.46,1793,387.26
ALGOUSDT,14,72,8,21,6,35,5,-656.86,-0.12,73.46,1793,387.26
ALGOUSDT,14,72,8,21,6,35,15,-656.86,-0.12,73.46,1793,387.26
ALGOUSDT,14,72,28,7,2,15,5,-320.37,0.26,68.49,1771,716.27
ALGOUSDT,14,72,28,7,2,15,15,-499.93,-0.26,71.48,1771,455.41
ALGOUSDT,14,72,28,7,2,35,5,-552.67,-0.39,75.36,1771,392.92
ALGOUSDT,14,72,28,7,2,35,15,-578.16,-0.69,74.76,1771,284.67
ALGOUSDT,14,72,28,7,6,15,5,-647.05,-0.05,71.70,1771,433.69
ALGOUSDT,14,72,28,7,6,15,15,-667.34,-0.10,73.25,1771,400.87
ALGOUSDT,14,72,28,7,6,35,5,-667.34,-0.10,73.25,1771,400.87
ALGOUSDT,14,72,28,7,6,35,15,-667.34,-0.10,73.25,1771,400.87
ALGOUSDT,14,72,28,21,2,15,5,-375.49,0.15,60.08,1771,647.05
ALGOUSDT,14,72,28,21,2,15,15,-354.24,0.06,63.47,1771,628.05
ALGOUSDT,14,72,28,21,2,35,5,-384.18,0.01,67.28,1771,592.58
ALGOUSDT,14,72,28,21,2,35,15,-448.47,-0.39,67.13,1771,414.37
ALGOUSDT,14,72,28,21,6,15,5,-605.92,0.04,68.44,1771,500.20
ALGOUSDT,14,72,28,21,6,15,15,-599.87,0.06,69.53,1771,510.00
ALGOUSDT,14,72,28,21,6,35,5,-599.87,0.06,69.53,1771,510.00
ALGOUSDT,14,72,28,21,6,35,15,-599.87,0.06,69.53,1771,510.00
ALGOUSDT,34,32,8,7,2,15,5,-899.88,-1.19,91.86,1815,-11.45
ALGOUSDT,34,32,8,7,2,15,15,-911.36,-1.34,92.67,1815,-25.12
ALGOUSDT,34,32,8,7,2,35,5,-852.96,-0.89,87.74,1815,49.42
ALGOUSDT,34,32,8,7,2,35,15,-834.04,-1.08,87.27,1815,28.80
ALGOUSDT,34,32,8,7,6,15,5,-860.50,-0.76,90.97,1815,33.66
ALGOUSDT,34,32,8,7,6,15,15,-860.50,-0.76,90.97,1815,33.66
ALGOUSDT,34,32,8,7,6,35,5,-860.50,-0.76,90.97,1815,33.66
ALGOUSDT,34,32,8,7,6,35,15,-860.50,-0.76,90.97,1815,33.66
ALGOUSDT,34,32,8,21,2,15,5,-815.25,-0.74,87.57,1815,87.76
ALGOUSDT,34,32,8,21,2,15,15,-849.19,-0.95,89.68,1815,53.47
ALGOUSDT,34,32,8,21,2,35,5,-764.08,-0.54,83.72,1815,162.21
ALGOUSDT,34,32,8,21,2,35,15,-726.32,-0.69,82.36,1815,136.52
ALGOUSDT,34,32,8,21,6,15,5,-845.46,-0.68,90.00,1815,52.09
ALGOUSDT,34,32,8,21,6,15,15,-845.46,-0.68,90.00,1815,52.09
ALGOUSDT,34,32,8,21,6,35,5,-845.46,-0.68,90.00,1815,52.09
ALGOUSDT,34,32,8,21,6,35,15,-845.46,-0.68,90.00,1815,52.09
ALGOUSDT,34,32,28,7,2,15,5,-825.94,-0.89,87.87,1793,89.17
ALGOUSDT,34,32,28,7,2,15,15,-855.59,-1.12,89.37,1793,45.38
ALGOUSDT,34,32,28,7,2,35,5,-809.14,-0.90,85.82,1793,105.03
ALGOUSDT,34,32,28,7,2,35,15,-781.49,-1.04,85.06,1793,81.35
ALGOUSDT,34,32,28,7,6,15,5,-866.63,-0.96,91.89,1793,26.16
ALGOUSDT,34,32,28,7,6,15,15,-866.63,-0.96,91.89,1793,26.16
ALGOUSDT,34,32,28,7,6,35,5,-863.50,-0.94,91.70,1793,29.99
ALGOUSDT,34,32,28,7,6,35,15,-867.55,-0.96,91.95,1793,25.03
ALGOUSDT,34,32,28,21,2,15,5,-810.75,-0.94,86.39,1793,108.91
ALGOUSDT,34,32,28,21,2,15,15,-846.59,-1.20,88.36,1793,56.75
ALGOUSDT,34,32,28,21,2,35,5,-785.71,-0.89,83.57,1793,134.77
ALGOUSDT,34,32,28,21,2,35,15,-755.66,-1.05,82.51,1793,107.17
ALGOUSDT,34,32,28,21,6,15,5,-825.39,-0.58,89.39,1793,76.66
ALGOUSDT,34,32,28,21,6,15,15,-825.39,-0.58,89.39,1793,76.66
ALGOUSDT,34,32,28,21,6,35,5,-825.39,-0.58,89.39,1793,76.66
ALGOUSDT,34,32,28,21,6,35,15,-825.39,-0.58,89.39,1793,76.66
ALGOUSDT,34,72,8,7,2,15,5,-292.08,0.05,72.70,1793,585.62
ALGOUSDT,34,72,8,7,2,15,15,-502.81,-0.18,72.21,1793,447.49
ALGOUSDT,34,72,8,7,2,35,5,-570.77,-0.35,76.52,1793,367.57
ALGOUSDT,34,72,8,7,2,35,15,-559.63,-0.56,72.59,1793,303.21
ALGOUSDT,34,72,8,7,6,15,5,-641.63,-0.02,73.76,1793,442.44
ALGOUSDT,34,72,8,7,6,15,15,-668.67,-0.10,74.85,1793,398.72
ALGOUSDT,34,72,8,7,6,35,5,-668.67,-0.10,74.85,1793,398.72
ALGOUSDT,34,72,8,7,6,35,15,-668.67,-0.10,74.85,1793,398.72
